"","Total_Population","Total_Housing_Units","Municipal_Area","County","REDC_Region","Cable_Providers","Units_Cable","Percent_Cable","DSL_Providers","Units_DSL","Percent_DSL","Fiber_Providers","Units_Fiber","Percent_Fiber","Wireline_Providers","Units_Wireline","Percent_Wireline","Wireless_Providers","Units_Wireless","Percent_Wireless","Sat_Providers","fips","region.x","value.x","State","Urban_Pop","Rural_Pop","Percent_Rural_Pop","estimate","moe","region.y","value.y","Percent_White","Percent_Black","Percent_Hispanic","Percent_Asian","Percent_Native_American"
"1",304204,137739,532.9,"Albany","Capital Region",2,131000,95,3,115000,83,9,47300,34,11,131000,95,8,133000,97,4,36001,36001,95,"NY",274708,29496,9.7,60904,963,36001,60904,0.8022,0.1143,0.0421,0.0411,3e-04
"2",48946,26140,1035.2,"Allegany","Western NY Region",1,15500,59,3,15900,61,2,0,0,6,19900,76,4,25100,96,4,36003,36003,76,"NY",10406,38540,78.7,44085,1080,36003,44085,0.9835,0.0061,0.0058,0.0045,2e-04
"3",1385108,511896,57.5,"Bronx","New York City",3,496000,97,2,496000,97,4,322000,63,8,496000,97,6,496000,97,4,36005,36005,97,"NY",1385069,39,0,35302,422,36005,35302,0.2198,0.2896,0.4599,0.024,0.0067
"4",200600,90563,715.2,"Broome","Southern Tier Region",3,85100,94,3,85100,94,4,0,0,10,87500,97,5,87800,97,4,36007,36007,97,"NY",148330,52270,26.1,47744,1080,36007,47744,0.9118,0.0379,0.0249,0.0251,2e-04
"5",80317,41111,1324.2,"Cattaraugus","Western NY Region",2,26300,64,3,29100,71,3,0,0,8,33000,80,7,39800,97,4,36009,36009,80,"NY",30719,49598,61.8,43884,1373,36009,43884,0.9574,0.0054,0.0074,0.0022,0.0275
"6",80026,36489,881.7,"Cayuga","Central NY Region",2,27100,74,4,28300,78,3,16500,45,8,32700,90,7,35300,97,4,36011,36011,90,"NY",35386,44640,55.8,53114,1178,36011,53114,0.9489,0.0336,0.0161,9e-04,5e-04
"7",134905,66920,1507.7,"Chautauqua","Western NY Region",1,57600,86,6,57000,85,2,0,0,8,63100,94,5,64700,97,4,36013,36013,94,"NY",75732,59173,43.9,43211,1023,36013,43211,0.9343,0.0148,0.0486,0.0011,0.0012
"8",88830,38369,410.9,"Chemung","Southern Tier Region",2,34900,91,3,33600,88,5,0,0,9,36400,95,5,37100,97,4,36015,36015,95,"NY",67352,21478,24.2,49578,1657,36015,49578,0.9251,0.052,0.0159,0.0065,6e-04
"9",50477,24710,898.1,"Chenango","Southern Tier Region",2,17800,72,2,23500,95,1,0,0,5,23600,96,7,23700,96,4,36017,36017,96,"NY",8373,42104,83.4,46979,1521,36017,46979,0.9953,0.001,0.0032,1e-04,4e-04
"10",82128,35888,1116.8,"Clinton","North Country Region",2,31300,87,6,28000,78,5,12500,35,9,32700,91,5,34300,96,4,36019,36019,91,"NY",29438,52690,64.2,50502,1858,36019,50502,0.9466,0.0343,0.0144,0.0042,5e-04
"11",63096,32775,647.9,"Columbia","Capital Region",4,16100,49,5,29900,91,4,480,1,11,30900,94,7,31700,97,4,36021,36021,94,"NY",16848,46248,73.3,59916,2708,36021,59916,0.9338,0.0349,0.0232,0.0079,2e-04
"12",49336,20577,501.1,"Cortland","Central NY Region",2,17400,85,2,18700,91,2,0,0,6,19500,95,7,19900,97,4,36023,36023,95,"NY",27493,21843,44.3,50910,1761,36023,50910,0.9775,0.008,0.011,0.0033,2e-04
"13",47980,31222,1466.9,"Delaware","Southern Tier Region",4,16200,52,6,22400,72,5,1500,5,13,26000,83,8,29600,95,4,36025,36025,83,"NY",10381,37599,78.4,46055,2281,36025,46055,0.9732,0.0088,0.0161,0.0017,2e-04
"14",297488,118638,824.5,"Dutchess","Mid-Hudson Region",3,115000,97,4,104000,88,5,54800,46,10,115000,97,7,115000,97,4,36027,36027,97,"NY",221928,75560,25.4,72706,1431,36027,72706,0.7934,0.0864,0.0961,0.0234,8e-04
"15",919040,419974,1222.1,"Erie","Western NY Region",1,403000,96,2,370000,88,7,169000,40,9,405000,96,7,407000,97,4,36029,36029,96,"NY",832615,86425,9.4,52744,482,36029,52744,0.8158,0.1246,0.0378,0.0191,0.0026
"16",39370,25603,1915.1,"Essex","North Country Region",4,19500,76,5,16100,63,6,3100,12,11,22500,88,7,22900,89,4,36031,36031,88,"NY",9899,29471,74.9,53244,2206,36031,53244,0.9575,0.0229,0.0165,0.0024,7e-04
"17",51599,25306,1696.3,"Franklin","North Country Region",1,17200,68,4,13700,54,2,3400,13,6,19300,76,4,23800,94,4,36033,36033,76,"NY",19259,32340,62.7,49782,1942,36033,49782,0.8558,0.0505,0.0208,6e-04,0.0723
"18",55531,28562,532.6,"Fulton","Mohawk Valley Region",1,25100,88,2,26300,92,1,0,0,4,27100,95,4,27400,96,4,36035,36035,95,"NY",27558,27973,50.4,46090,1878,36035,46090,0.9742,0.0127,0.0117,0.0011,3e-04
"19",60079,25589,495.7,"Genesee","Finger Lakes Region",1,23700,93,3,21500,84,3,0,0,7,24400,95,6,24800,97,4,36037,36037,95,"NY",24100,35979,59.9,52641,1500,36037,52641,0.9491,0.0217,0.0192,0.0016,0.0084
"20",49221,29210,657.6,"Greene","Capital Region",3,26800,92,2,21700,74,4,740,3,7,27000,92,8,28100,96,4,36039,36039,92,"NY",13220,36001,73.1,51013,2192,36039,51013,0.9236,0.047,0.0273,0.0015,6e-04
"21",4836,8694,1806.2,"Hamilton","North Country Region",1,710,8,2,6500,75,1,0,0,4,6600,76,3,5800,67,4,36041,36041,76,"NY",0,4836,100,52708,6173,36041,52708,0.9957,0.0021,0.0012,0.001,0
"22",64519,33381,1456.3,"Herkimer","Mohawk Valley Region",1,26300,79,4,28100,84,2,0,0,7,29900,90,5,31800,95,4,36043,36043,90,"NY",31092,33427,51.8,48893,1554,36043,48893,0.9883,0.0051,0.0056,8e-04,2e-04
"23",116229,57966,1755.8,"Jefferson","North Country Region",1,44500,77,5,47200,81,3,15500,27,8,52700,91,4,55800,96,4,36045,36045,91,"NY",60382,55847,48,49911,1403,36045,49911,0.9039,0.0415,0.0492,0.0044,9e-04
"24",2504700,1000293,97.1,"Kings","New York City",3,970000,97,2,970000,97,6,505000,50,10,970000,97,7,969000,97,4,36047,36047,97,"NY",2504663,37,0,50640,322,36047,50640,0.4108,0.3033,0.189,0.0951,0.0018
